Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Kari Joys MS,@KariJoys,May 11,"Open your #Heart & vibrate higher! #JoyTrain #Joy #Love #Forgiveness #MentalHealth #Mindfulness #Quote RT 
@MyPowertalk",1,12,25
Jan Romes,@JanRomes,May 10,"The more Stella tries to ignore Alex, the more he's in her workspace stirring chemistry and bringing feelings to the surface she tried to tamp down. STELLA IN STILETTOS #romance #secondchances #office #KU #humor #99cents https://tinyurl.com/467jxx4x",,29,25
Purveyor of Diversions,@PollSter_Mike1,May 11,"~ Relationship ~ 
#PurveyorOfDiversions 

Cast your vote now and let us know who you think is most likely to surprise their partner by bringing home a new pet without telling them!  #RelationshipGoals",2,15,16
National Domestic Violence Hotline,@ndvh,May 11,"We're proud to be selected as one of 
@CREDOMobile
 May grant recipients. Until 5/31, you can vote for The Hotline to help us shift power back to #DV survivors. Vote today: https://bit.ly/3LKQtuS

#credodonations #EndDV #Abuse #relationships",,4,6
AUTHOR RAELLE LOGAN - HISTORICAL & PIRATE ROMANCE,@RaelleLogan1,May 11,He's the pirate who was her hunter. She's the illegitimate daughter born to an exiled king. Their love is forbidden. Their lives threatened by another vicious king. His brothers seek to spill his blood for his past that he cannot remember. Who will live? Who dies? #books #romance,,10,6
"Kelly Miller, #BestSelling #Regency #Author!",@Kellyrei007,May 11,"Thanks, Tristan!
Links:
“riveting and delightful”

“Death Takes a Holiday at Pemberley,” a #PrideandPrejudice #Regency #Paranormal #Romance ideal for fans of #Bridgerton or #JaneAusten! Mr. Darcy meets an angel of death!
At #Audible! On #KindleUnlimited!…",1,7,5
BingeBooks,@realBingeBooks,May 11,"Please welcome our latest group of Spotlight Authors. Explore their books and binge free samples before you buy!

#Romance: 
@Nadine_C_Keels
 
http://bingebooks.com/author/nadine-c-keels…

#Thrilers: #RebeccaZanetti
http://bingebooks.com/author/rebecca-zanetti…
Live Author Chat this month: http://bingebooks.com/pages/live-author-chat-with-rebecca-zanetti…

#booktwt",,3,9
Sandy,@Kindness626,May 10,"Oh my heart!!!  This stunning boy is Jakey!!! Look at those eyes!!! Ready to fall in #love !! He's full of #love , such a #sweet #dog just looking for that special amazing #human to #adopt him. Impossible to say no to that face!!  #photo #dogsoftwitter #foster #rescue",,5,6
Kari Joys MS,@KariJoys,May 11,"Keep moving forward! #JoyTrain #Joy #Love #Blessed #Kindness  #Quote #MentalHealth #Mindfulness RT 
@HappyEmpath",1,6,10
Steve Henderson,@SHendersonArt,May 11,"As the kiss was freely given, it wasn't stolen at all, but the moment was. Being with him was so much more fulfilling than being at work.

Stolen Kiss shower curtain -- https://2-steve-henderson.pixels.com/featured/stolen-kiss-steve-henderson.html?product=shower-curtain…

#kiss #retro #couple #italy #bath #shower #homedecor #nostalgic #romance #romantic",,6,14
Kari Joys MS,@KariJoys,May 11,"You hold the #Power! #JoyTrain #Joy #Love #Peace  #BeLove #BeKind  RT 
@AngelHealingArt",,3,8
SOS Travel,@Sostraveluk,May 10,"Why not today? Take that #trip & enjoy the #experience that awaits you! 

We would #love  to help you #explore #Marrakech & more, get in touch & let us make your #time here #memorable

#morocco #mymorocco #moroccotravel #travel #trips #daytrip #moroccotrip #moroccolove",,3,9
Ram Dass,@BabaRamDass,May 11,"How to Remain Loving in the Face of Danger
How can you remain loving when there is so much danger in the world? You are afraid that justice and …
Listen: https://ramdass.org/remain-loving-face-danger/…
#ramdass #love #meditation #yoga #consciousness #mindfulness #spiritual #awareness #babaramdass",1,4,10
JT Atkinson,@jtatkinson666,May 11,"Something's haunting the old cinema, something that gives you a taste of romance. Before it takes your eyes.

We Hide in the Shadows by J. T. Atkinson.

4 chapters #FREE:
https://amazon.com/dp/B09K6SM59D/ref=mp_s_a_1_1?crid=12OTO2YNMFB63&dchild=1&keywords=we+hide+in+the+shadows&qid=1635113843&qsid=140-7455616-6497257&sprefix=we+hide+in+the+shadows%2Caps%2C181&sr=8-1&sres=B09K1XD8YZ%2C1786078090%2CB099X3FSF8%2C0812694228%2CB00TUA51VY%2C1702168913%2C0062852590%2CB0818B89T9%2C164313678X%2CB079R6HR56%2CB08Z3WJ7GR%2C1250207193%2CB003H4I4S6%2CB07VP8B3WX…

#Kindleunlimited #suspense
#read #thriller #mustread  #romance #supernatural",2,115,71
Meryl,@elisiashoppe,May 11,"The Theme from #LoveStory n Other Piano Favorites #lp Les Diamond ds2490 ENDS SOON  https://ebay.com/itm/255822452525?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=d8f1ye5cQX-&sssrc=2047675&ssuid=d8f1ye5cQX-&widget_ver=artemis&media=TW… #eBay via 
@eBay",,5,2
Book Banquet,@Book_Banquet,May 11,"The lovely young wives of Connor J. Barrington are dropping like flies.
Bad karma, or is Connor culpable?
Find out in darkly funny Annie & Charlotte.

Free on Amazon!

 https://tinyurl.com/xknuuv5a 

#freebook #readers #booklover #bookworm 
#darkhumor #romance 
@IreneWoodbury",,3,4
The Beltway Bandits,@chladek_david,May 11,"World Friends
Thank you very much 
@MarkBird17
Keep Spreading The Love
@chladek_david
Follow Everyone!
#FolloForFolloBack #FridayFeeling 
#FolloMe #follo4folloback #follo4follo #folloback 
#NP #Art #Music #Love
#Friends #World #Peace #Now
http://TheBeltwayBandits.com
Pls RT",1,8,8
Book Sizzle,@BookSizzle,May 11,"“ Well-plotted thriller with a serial killer who is chilling and creepy as heck.”

-- CLOSE ENOUGH TO TOUCH --

 https://KAMoll.com  

#mustread #lesbian #thriller #romance #lesfic #amreading
#KAMoll #CadeBrogan #booktwitter #KindleUnlimited",,1,4
Suzy Henderson,@Suzy_Henderson,May 11,"The Beauty Shop A #WW2 Novel Inspired by a True Story.
Free on #KindleUnlimited

War brings them together but will it ultimately tear them apart?

#BookReview: ""A mesmerising story.""

Audio/eBook/Print/KU
https://buff.ly/2DApITG

#Audible #truelove #HistoricalRomance",1,15,8
TweetYourNovel,@TweetYourNovel,May 11,"When Connor & Roxy’s Honeymoon from Hell turns deadly, who survives? Who doesn’t?

Find out in darkly funny Honeymoon Roulette!

#Darkhumor #Romance - Free on Amazon!

https://amazon.com/dp/B098PMP47D 
 
#FreeBook #amreading #booklover

#readingcommunity 
@IreneWoodbury",,4,4
AuthorBookBoost,@AuthorBookBoost,May 11,"""Along comes this gem of a book that had me laughing throughout. Overall a damn good read.""

COURTING MAYHEM WON RUNNER UP IN LR CAFÉ’S BEST SCIENCE FICTION OF 2021!!

 https://amazon.com/dp/B09MMKSSXJ 

#scifi #romance #comedy 
@askole
 

#readerscommunity #bookbloggers",,2,3
Blue 's,@EileenPCarry,May 11,"#Truelove—a fore-bearer of #truths. #Love is truth. And in the end, #humanity can no longer ignore what sincerity beckons from the core as it repeats our name to attention; a meaning to purpose—to strive to be better at being #human.

https://aseasoninsurvivalmode.wordpress.com/2017/05/19/love-eternal-voice-of-reason/…",,1,5
AUTHOR RAELLE LOGAN - HISTORICAL & PIRATE ROMANCE,@RaelleLogan1,May 11,She sailed on a quest for justice after her father was murdered by pirates and finds ecstasy in the arms of her father's adversary.  What is stronger... her courage or her feelings for the pirate that she's forbidden to love? #book #books #romance http://amazon.com/author/raellelogan…,,12,8
AUTHOR RAELLE LOGAN - HISTORICAL & PIRATE ROMANCE,@RaelleLogan1,May 11,"The tantalizing romance you want, the seductive hero you desire, the bloodthirsty villains you fear, the exciting, high seas adventure you crave... you'll find all that and more in the sizzling embrace of a captivating pirate. #book #books #romance http://amazon.com/author/raellelogan…",,16,8
Alzheimer's Foundation of America,@alzfdn,May 10,"Mother’s Day is a time to honor the special mother figures in your life. If your loved one lives with dementia, it can continue to be special
with a few adaptations.

Learn more https://alzfdn.org/5-ways-to-celebrate-mothers-day-with-someone-who-has-dementia/…

#mothersday #mom #love #dementia #alzheimers #alzheimersawareness",,5,7
Blue 's,@EileenPCarry,May 11,"She seeks a protectorate of her soul purpose—one who values her virtue in devotion to #love beyond a #world made blinded by cold #hearts. Be humbled by her desire, or be burned by her fire. 

https://aseasoninsurvivalmode.wordpress.com/2016/11/12/love-is-the-garden-of-eden/…",,1,8
