Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Lloyd Legalist,@LloydLegalist,May 28,"Marriage Tip of the Day:  
Never ask your wife when dinner will be ready while she’s mowing the lawn. #Marriage #CoupleGoals #Tips #Husbands #Wives",15,45,359
Hummingbird Warriors Digital Collectibles,@H3Energy_,May 28,"Good morning! Hummingbirds are messengers to remind you what brings you joy! Hope this cutie make you smile!
#MentalHealthMatters #H3Energy #hummingbirdwarriors #lovenature #Hummingbird #love #nftcommunity",2,6,16
Thehighersoul,@ruhi1515,May 28,"Kids are the purest form of getting unconditional love 
#unconditional love
#love for Art",5,3,18
#DemetÖzdemir,@fandemetoz_,May 28,"I can't stop making videos about this new trailer because it's crazy. #AdımFarah #FaHir #DemetÖzdemir #EnginAkyürek #TurkishDrama #FarahTahir #lovestory 
@dmtzdmr",4,38,110
Mugdha's Amna,@MugdhasAmna,May 28,"That's KrishDha for u

#love #MugdhaChaphekar #KrishnaKaul #PranBir #krishDha #kumkumbhagya",1,5,22
Not Dorothy Parker,@NotDottieParker,May 27,The definition of #CoupleGoals. But you forgot to add that you are the kind of people who owned a fledgling pillow company but felt compelled to donate pillows to the guardsmen who were sleeping on the floor of the Capitol after Jan 6. All your success is earned & well deserved.,1,4,48
Zee,@growingupzee,May 28,"We grieve after learning this week that Zee and Pikachu are no longer in orbit.  Our launch provider, ⁦
@celestisflights
⁩, placed them in a spacecraft never intended to achieve the expected 5-10 year orbit, but with a mission life of only 3 hours. Another try in 2024 #love",21,20,147
Supernova,@DisperseStar1,May 28,"“In the garden I see only your face.
From trees and blossoms
I inhale only your fragrance:”—-

Rumi 
#love #silence #fragrance #blossom",1,5,13
PhotosAndWoodwork123,@PhotoAndWoodArt,May 28,"Flight to a painting...

#flight #ducks #painting #abstract #trees #reflections #nature #birds #love #art #photography",7,3,33
Squirrel Lover World,@squirrellovers_,May 28,"Eating my cute squirrel baby 

#foryou #fyp #usa #squirrel #cute #love",5,20,134
