Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
English Country Life,@engcountrylife,May 7,"Second batch of Buff Legingtons are off to their new home with Dave & Sue - great friends & good neighbours

#chickens #friendship #countrylife #rural #smallholding #homestead",,2,25
Reet SidNaaz,@Reet51175948,May 8,"Haaye my #friendsforever 

Thank you 
@GuruOfficial
 be a honest friend of my baby 
@ishehnaaz_gill
 


Guys plz go and shower your love and blessing for this pure friendship bond .

#ShehnaazGiII 

http://instagram.com/reel/Cr-9OWqOf",1,16,23
kylemaclachlanlove_,@_peaksfreak_,May 7,"Oh my God… Just kiss already!  

#twinpeaks #davidlynch #outtake #ship #dalecooper #sheriffharrytruman #daleandharry #love #bestfriends #kiss #twobestfriendsinaroom",,2,17
"The Martin Luther King, Jr. Center",@TheKingCenter,May 7,"If we want a #just, #humane, #equitable, and #peaceful world, we must choose #nonviolence. According to the #Principles of #Nonviolence, we must seek #friendship and #understanding, and we must seek to defeat #injustice, not #people. We can strive toward the #BelovedCommunity.",1,11,38
BahaiTeachings.org,@Bahai_Teachings,May 9,"Look always at the good and not at the bad. If a man has ten good qualities and one bad one, look at the ten and forget the one; and if a man has ten bad qualities and one good one, look at the one and forget the ten. - #AbdulBaha

#Bahai #Spirituality #Friendship #Kindness #Love",,14,39
RJ Armstrong,@Armstrong_LHHS,May 7,"Last cheer of the season! Shout out to the ‘23 cheer team! You are appreciated! Seniors, you will be dearly missed. 
@wcann33
 @tboonewilliams
 @hyman_jocelyn
 #squadgoals",2,5,23
Petals of Support,@PetalsofSupport,May 9,"New Episode 
@ebunny061
 joins me to discuss friendships, mental health, therapy, and explain time zones!  

Please listen, rate, and share 

Links in comments 

#podcast #advice #friends #friendship #mentalhealth #MentalHealthAwarenessMonth #selfcare #MentalHealthMatters",1,20,29
Jo & Dreamer,@JoannaHolland80,May 7,Beautiful day spent with my best friend  I don’t need anything else just you by my side as a friend  #Bodminmoorpony #friendship #DreamersJourney,3,6,57
rabbitsquirrel,@bananamangokiwi,May 8,"Sometimes I like rainy day 

#Rabbit #Squirrel #BestFriends #Procreate #일러스트",1,6,39
Jaka Aranda,@ArandaJaka,May 7,"Empathy It is to understand, to see the similarity between you and another person. It is not pity.”
— Prem Rawat
#empathy #life #love #friendship",,12,25
Anthony Rizo,@Anthony_Rizo_,May 6,Couldn’t ask for a better squad to be part of! #squadgoals be ready for some results for Q2 from US!,,1,12
Lisa-Marie,@BrownieLB_1,May 6,"Love love love this one.!!! 
Garden Parties and Girls catching up 
#friendship #Girlsgang #TwitterFriends #gardenparty #Spring2023 #cornwall",8,2,88
Christophe Martinez,@Citizenmagpie,May 8,"Architectural Ikebana (One from the heart)

#poetry #photograghy #wanderer  #wallart #NatureBeauty #friendship #KindnessMatters 
@berrycitygirl
 @Arya11706032
 @StonesArtStuff
 @dardar1126
 @BreizhEric1967
 @MichaelTateArt
 @Nubecula_Minor
 @LauraKerrArt
 @AuthorLachlan
 @Surrealism_KY",1,3,19
