Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Sarah @Thistleflat Crafts,@thistleflat,May 15,"Need a gift for that fabulous person in your life? Pop over to http://ThistleflatCrafts.com and get them something to show how much you appreciate them!

#earlybiz #ShopIndie #bestfriends #appreciated #grateful",,29,28
Sandy Lindsay MBE,@SandyLindsay,May 15,Truly beautiful! And sums up the reason I first got involved in rugby league. The people you meet are big hearted and passionate and it’s a privilege to be part of it! #rugbyleague #friendship #sport #community,,2,17
FACADE *ファサード* #NeonNinja,@1FACADE,May 14,"@3Legacies
 returns FRIDAY May 19th Lancaster PA!
@BreauxKeller
 & the #NeonNinja vs 
@BoarIsWar
 & 
@Tarzanian_Devil
 for the #FirstTimeEver!! Come enjoy our dramatic retelling of the #JungleBook 7pm Bell time 
#FRIENDSHIP #3LW #NeonBlondes 
#goNINJAgo ",1,4,7
Shift Up Now,@ShiftUpNow,May 14,"Smiles for potential today in the 
@Round3Racing
 pits - this photo was snapped while 
@LoniUnser
 and 
@erinvogelracing
 were watching 
@SarahMRacing
 wheel it at the pointy end this morning before over-heating took the team out of contention. 

#ShiftUpNow #TeamMates #Friendship",,2,15
HELLO HIRO CHANNEL,@HelloHiroTeam,May 14,"Enjoy our music animation#breeze#Dandelion#Blow#Freedom#Vocaloid#Relax#Cute#Happiness#Friendship#Peace#Dream#Love#Nature#vocaloPost#DTM 
Breeze https://youtu.be/88OpIg1dY-I 
@YouTube",,4,41
RealMonkeyTheCat,@RealMonkeyCat,May 14,"My good furrends .
@LeviFetterman
 & 
@artemisorourke
 are wiser than many hooms. They know the impawtence of every child’s life, every adult’s life. Support #CommonSenseGunControl 
#BestFriends #DemVoice1 #DemoCat",2,3,9
Gauranga Das,@GaurangaDas,May 12,"The word friend ends with 'end' because when you find a true friend, all your problems end.

#friends #friendship #truefriends #truefriendship #friendshipgoals #friendshipquotes #bestfriends #bestie #bestfriendsforever #krishna #harekrishna #lordkrishna #krishnaleela #haribol",2,8,27
KC Sprayberry,@kcsowriter,May 15,"  Brylee ignores threats. #Bullying She feels she's safe and doesn't believe anyone will hurt her. #Friendship 
@SolsticePublish
 https://amazon.com/dp/B0B5NKH765/",,5,6
Stephanie Wood loves the AEGEAN SUN,@AegeanSunSeries,May 12,"A holiday in Greece isn’t complete without a visit to the local market place with its tasty fruit and veg and unforgettable souvenirs, so step inside and enjoy the atmosphere…

#amreadingromance #womensfiction #friendship 
#bookclub #KU 

https://amzn.to/3F8KZn4",1,11,3
Devonshire Freemasons,@DevonMasons,May 12,"Milestone of 75,000 teddies given out! Read more  https://buff.ly/3VWtPmw 

#freemasonry #freemasons #Integrity #Friendship #Respect #charity #giving #donation #support #grant #local #devonshire #oneorganisation #RoyalArch 
@UGLE_GrandLodge",1,7,26
"Operation Beagle with Betsy, Ambassador for FLOE",@BetsyAmbassador,May 12,"Bravo 
@domdyer70
. Thank you for your calm, reasoned & bullseye approach to this appalling incident which has shocked the nation. 
@KensingtonRoyal
#DogsAreFamily #Lifeline #Homeless #PrincessDiana #KindnessIsMagic #Dogs #BestFriends #MarshallandMillions",1,19,89
Gabriela Ramos,@gabramosp,May 13,"Good for #health, #friendship & the #planet. 
@UNESCO
’s Ambassadors walking the talk, while our governing body decides on launching a #cycling initiative! Leading the sector in charge of #sports & #Fit4Life, I cannot but fully support! 
@MariuszLewicki
 @VishalVSharma7
 @UmidShadiev",,5,17
Chris Dyson FCCT,@chrisdysonHT,May 14,I love this man more and more I see him - true #Friendship #KevinSinfield,5,,40
celtic princess,@TBGTNT,May 13,"They are so sweet & utterly adorable.
Thank you so much,
Jeanette.
Happy Friday to everyone.
I wish you all, a wonderful weekend.
(Gif via Giphy) #bestfriends ",2,28,38
Devonshire Freemasons,@DevonMasons,May 13,"Cadogan Court Summer Fayre 2023 Read more  https://buff.ly/3BhLX12 

#freemasonry #freemasons #Integrity #Friendship #Respect #charity #giving #donation #support #grant #local #devonshire #oneorganisation #RoyalArch 
@UGLE_GrandLodge",1,9,19
Cynamagic's Shop-O-Rama,@ShopCynamagic,May 13,"Was $12.95 NOW Only $7.95! 

Vintage 1991 Precious Moments Good Friends Are For Always Figurine 524123 #Vintage #1990s #PreciousMoments #GoodFriendsAreForAlways #Figurine #Friends #BestFriends #Friendship #CynamagicsShopORama",,9,4
