Name,Username,Date_Posted,Tweet,Reply_Count,Retweet_Count,Like_Count,Relations
Emma Raabe,@emma_raabe,Jun 4,"Experience of a lifetime at the WCWS! I also got to hang with the person who continues to teach me so much about the game! Thanks for always having my my back & supporting me beyond graduation, Coach!  Couldn’t be more grateful for the relationships Mizzou gave me #family #MIZ",2.0,3.0,106,family
NateBige,@NateBige,Jun 4,"Day 21 of tweeting until 
@IMarion_Stewart
 commits to catching dimes from JD in the Big House! 

#GoBlue | #Family | #Born2Play4Michigan | BF",2.0,3.0,35,family
NateBige,@NateBige,Jun 3,"Day 43 of tweeting until 
@JBeasley_2024
 commits to leading our front 7 to shutting down that run game 
@UMichFootball
 ! IT’S TIME

#Family | #GoBlue | #Born2Play4Michigan | BF",3.0,7.0,42,family
COACH PRIME,@DeionSanders,Jun 4,"Nephew TJ working! #Family #UnclePrime 
@mstrahanbrand
 @michaelstrahan",12.0,30.0,424,family
NateBige,@NateBige,Jun 3,"Day 27 of Tweeting until 
@AaronScottJr1
 commits to THE university of Michigan! 
#NoFlyZone 

#Family | #GoBlue | #Born2Play4Michigan | BF

Photo Edit Credit: 
@CalebGleas87777",2.0,8.0,63,family
NateBige,@NateBige,Jun 3,"Day 20 of tweeting until 
@IMarion_Stewart
 commits to catching dimes from JD in the Big House! 

#GoBlue | #Family | #Born2Play4Michigan | BF",2.0,6.0,36,family
NateBige,@NateBige,Jun 4,"Day 13 of Tweeting Until 
@TheDCMayo
 commits to being the next great DE in one of the best defenses in college ! 

#GoBlue | #Family | #Born2Play4Michigan | BF",2.0,4.0,38,family
Kendra Murray,@kendramurray01,Jun 4,"Great start to our weekend! Team played well going 4-1 on the weekend. I Went 5 for 10 with 2 home runs and 6 RBI’s, but always room for improvement! Keep praying and keep fighting coach Lamar!!!  #family 
@LadyDukesGhent
 @CofCSoftball
 @CoachBurns17",,5.0,18,family
Gilbert Girls Soccer,@GHS_SoccerGirls,Jun 4,Wow! What a season! Can’t even begin to describe this group. Congratulations on leaving a legacy for Gilbert Girls Soccer.  #ourteam #family #celebrate #WEbeforeMe Thank you to everyone that supported us along the way! #grateful,2.0,9.0,44,family
NateBige,@NateBige,Jun 4,"Day 47 of tweeting until 
@BRob_2323
 commits to dominating the Edge in the Big House! We need your work ethic and leadership! 

#Family | #GoBlue | #Born2Play4Michigan | BF",2.0,3.0,44,family
